Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
CANADA,25,4.636321181
CANADA,26,0.265904514
CANADA,27,1.177624687
CANADA,28,6.401621215
CANADA,29,8.916980752
CANADA,30,5.509736181
CANADA,31,2.193373183
CANADA,32,0.832233912
CANADA,33,1.929276921
CANADA,34,1.740426539
CANADA,35,8.933965046
CANADA,36,4.231985486
CANADA,37,0.305157211
CANADA,38,7.086671366
CANADA,39,33.47407219
CANADA,40,94.60552416
CANADA,41,0.25714125
CANADA,42,5.800642326
CANADA,43,0.27268257
CANADA,44,0.093200417
CANADA,45,7.613727662
CANADA,46,9.084448877
CANADA,47,5.503220417
CANADA,48,2.914760498
CANADA,49,24.05105807
CANADA,50,6.387500926
CANADA,51,24.81909552
CANADA,52,1.679059988
CANADA,53,5.972859028
CANADA,54,6.423760648
CANADA,55,1.901424352
CANADA,56,7.312335764
CANADA,57,1.90266485
CANADA,58,0.033567512
CANADA,59,1.412506516
CANADA,60,10.48086091
CANADA,61,5.111123924
CANADA,62,0.463871331
CANADA,63,5.573389583
CANADA,64,0.67545706
CANADA,65,4.963667905
CANADA,66,8.051199965
CANADA,67,12.31341979
CANADA,68,9.200700081
CANADA,69,3.217756678
CANADA,70,0.268198843
CANADA,71,3.888516713
CANADA,72,2.713269143
CANADA,73,21.28871562
CANADA,74,26.52066281
CANADA,75,13.04059618
CANADA,76,1.665927662
CANADA,77,3.28230066
CANADA,78,0.491006944
CANADA,79,6.230482292
CANADA,80,1.304811644
CHAMACO,1,25.85046868
CHAMACO,2,40.45363295
CHAMACO,3,4.713223264
CHAMACO,4,19.01032797
CHAMACO,5,7.099051736
CHAMACO,6,10.19453723
CHAMACO,7,51.91673039
CHAMACO,8,9.416553542
CHAMACO,9,5.839498993
CHAMACO,10,0.809948067
CHAMACO,11,0.773323611
CHAMACO,12,62.21520976
CHAMACO,13,24.31940189
CHAMACO,14,6.558402546
CHAMACO,15,0.953374456
CHAMACO,16,4.544709329
CHAMACO,17,5.154020995
CHAMACO,18,64.44093122
CHAMACO,19,2.122610914
CHAMACO,20,38.02855197
CHAMACO,21,3.377771725
CHAMACO,22,14.84789475
CHAMACO,23,19.24757816
CHAMACO,24,0.71245706
CHAMACO,25,0.046033947
CHAMACO,26,3.662716898
CHAMACO,27,3.061063507
CHAMACO,28,10.66465594
CHAMACO,29,17.79091141
CHAMACO,30,4.095723414
CHAMACO,31,6.41851412
CHAMACO,32,2.372942477
CHAMACO,33,0.159057755
CHANFLE,1,18.15606115
CHANFLE,2,3.990504051
CHANFLE,3,0.185459028
CHANFLE,4,10.81668568
CHANFLE,5,2.319186076
CHANFLE,6,2.113504005
CHANFLE,7,0.215701319
CHANFLE,8,1.139243125
CHANFLE,9,2.606285532
CHANFLE,10,1.812316053
CHANFLE,11,28.30731543
CHANFLE,12,1.478384144
CHANFLE,13,12.33552589
CHANFLE,14,1.579046296
CHANFLE,15,0.021685463
CHANFLE,16,0.140143438
CHANFLE,17,0.270381597
CHANFLE,18,53.31731432
CHANFLE,19,7.415312847
CHANFLE,20,0.455349688
CHANFLE,21,5.006374734
CHANFLE,22,0.276365972
CHANFLE,23,20.15822578
CHANFLE,24,10.95934418
CHANFLE,25,14.54561095
CHANFLE,26,13.24582125
CHANFLE,27,12.81344367
CHANFLE,28,1.22502809
CHANFLE,29,0.39285691
CHANFLE,30,2.028780521
CHANFLE,31,0.42395706
CHANFLE,32,0.13671169
CHANFLE,33,0.540957292
CHARROS,1,0.687028079
CHARROS,2,3.008829896
CHARROS,3,1.383363391
CHARROS,4,5.015924653
CHARROS,5,0.369139699
CHARROS,6,4.929496609
CHARROS,7,1.013996065
CHARROS,8,0.921138657
CHARROS,9,0.612160185
CHARROS,10,12.01261204
CHARROS,11,11.02557234
CHARROS,12,0.327601968
CHARROS,13,1.100160417
CHARROS,14,6.4521664
CHARROS,15,0.035661921
